CodProv;Provincia
04;Almeria
11;Cadiz
14;Cordoba
18;Granada
21;Huelva
23;Jaen
29;Malaga
41;Sevilla
22;Huesca
44;Teruel
50;Zaragoza
33;Asturias
07;Balears (Illes)
35;Palmas (Las)
38;Santa Cruz de Tenerife
39;Cantabria
05;Avila
09;Burgos
24;Leon
34;Palencia
37;Salamanca
40;Segovia
42;Soria
47;Valladolid
49;Zamora
02;Albacete
13;Ciudad Real
16;Cuenca
19;Guadalajara
45;Toledo
08;Barcelona
17;Girona
25;Lleida
43;Tarragona
03;Alicante/Alacant
12;Castellon/Castello
46;Valencia/Valencia
06;Badajoz
10;Caceres
15;Coruna (A)
27;Lugo
32;Ourense
36;Pontevedra
28;Madrid
30;Murcia
31;Navarra
01;Araba/Alava
20;Gipuzkoa
48;Bizkaia
26;Rioja (La)
51;Ceuta
52;Melilla
